,playerID,commonName,league,startYear,endYear,totalGames,positionWar,averageHit,patience,power,speed,defense,playerLabel,shortWar,positionCat,fact
13,baderha01,Harrison Bader,MLB,2017,2020,348,6.61,32.23523006,77.18486251,52.05554043,90.47100463,96.84181868,Active Player,3.077068966,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
14,beninan01,Andrew Benintendi,MLB,2016,2020,485,9.125,84.5358018,70.21508304,49.41464743,82.0038116,42.28151375,Active Player,3.047938144,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
15,broxtke01,Keon Broxton,MLB,2015,2019,376,3.09,2.205281786,88.91913967,70.65069426,98.66594065,99.12877757,Active Player,1.331329787,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
16,buxtoby01,Byron Buxton,MLB,2015,2020,432,10.345,36.67301933,15.81813232,78.02885924,98.17587803,98.61148925,Active Player,3.879375,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
17,engelad01,Adam Engel,MLB,2017,2020,365,1.045,11.02640893,21.04546692,15.70922951,89.19139668,66.10400218,Active Player,0.463808219,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
18,gallojo01,Joey Gallo,MLB,2015,2020,473,9.62,5.690171522,98.66594065,99.42826028,53.9341138,56.11216989,Active Player,3.294799154,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
19,gamelbe01,Ben Gamel,MLB,2016,2020,442,2.13,62.48298394,55.64933297,17.17941737,69.3438606,14.64742717,Active Player,0.780678733,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
20,garcile02,Leury Garcia,MLB,2013,2020,480,1.935,57.90906616,3.212632725,7.160359379,91.64170977,47.91723387,Active Player,0.6530625,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
21,goodwbr01,Brian Goodwin,MLB,2016,2020,357,2.59,45.84808059,48.54342499,75.60577185,75.44241764,14.15736455,Active Player,1.175294118,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
22,hanigmi01,Mitch Haniger,MLB,2016,2019,350,9.445,81.67710319,70.92295127,82.60277702,57.74571195,45.00408386,Active Player,4.371685714,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
23,happia01,Ian Happ,MLB,2017,2020,372,5.72,49.93193575,86.57772938,92.67628641,59.92376804,44.65014974,Active Player,2.490967742,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
24,heredgu01,Guillermo Heredia,MLB,2016,2020,397,1.75,25.12932208,65.50503675,6.997005173,29.59433705,52.38224884,Active Player,0.714105793,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
25,hernago01,Gorkys Hernandez,MLB,2012,2019,394,-0.28,14.83800708,39.20500953,20.28314729,83.71903077,49.85025864,Active Player,-0.115126904,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
26,hernate01,Teoscar Hernandez,MLB,2016,2020,377,3.705,49.33297032,37.65314457,95.48053362,66.81187041,5.744622924,Active Player,1.592068966,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
27,jankotr01,Travis Jankowski,MLB,2015,2020,350,1.985,23.1962973,70.37843724,0.735093929,97.25020419,74.48951811,Active Player,0.918771429,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
28,jonesja07,JaCoby Jones,MLB,2016,2020,316,1.67,8.004356112,42.09093384,55.29539886,91.04274435,66.45793629,Active Player,0.856139241,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
29,judgeaa01,Aaron Judge,MLB,2016,2020,424,19.45,84.34522189,98.33923224,99.01987476,45.95698339,76.47699428,Active Player,7.431367925,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
30,kempto01,Tony Kemp,MLB,2016,2020,332,0.47,22.73346039,77.53879662,15.89980942,83.63735366,27.22570106,Active Player,0.229337349,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
31,mancitr01,Trey Mancini,MLB,2016,2019,462,5.925,87.0950177,33.65096651,88.32017424,27.77021508,2.967601416,Active Player,2.077597403,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
32,margoma01,Manuel Margot,MLB,2016,2020,475,6.12,46.01143479,18.40457392,26.24557582,95.23550231,90.19874762,Active Player,2.087242105,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
33,martijo08,Jose Martinez,MLB,2016,2020,432,3.29,95.91614484,46.80098013,42.68989926,26.70841274,1.170705146,Active Player,1.23375,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
34,naquity01,Tyler Naquin,MLB,2016,2020,325,3.205,84.42689899,15.73645521,56.11216989,61.93846992,43.45221889,Active Player,1.597569231,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
35,nimmobr01,Brandon Nimmo,MLB,2016,2020,365,8.32,69.2621835,99.53716308,75.57854615,80.28859243,21.15436973,Active Player,3.692712329,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
36,pindech01,Chad Pinder,MLB,2016,2020,367,3.655,39.25946093,35.74734549,65.26000545,26.89899265,61.36673019,Active Player,1.613378747,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
37,renfrhu01,Hunter Renfroe,MLB,2016,2020,432,5.03,20.58263,35.06670297,97.14130139,29.70323986,43.6427988,Active Player,1.88625,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
38,rickajo01,Joey Rickard,MLB,2016,2020,347,0.655,34.24993194,26.59950994,17.50612578,62.48298394,31.09175061,Active Player,0.305792507,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
39,schebsc01,Scott Schebler,MLB,2015,2020,380,2.745,25.31990199,71.16798258,80.45194664,42.22706235,36.34631092,Active Player,1.170236842,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
40,smithma05,Mallex Smith,MLB,2016,2020,442,4.895,67.19303022,54.04301661,6.833650967,99.31935747,43.75170161,Active Player,1.794095023,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
41,sotoju01,Juan Soto,MLB,2018,2020,313,10.29,98.33923224,98.39368364,97.4952355,61.23060169,6.343588347,Active Player,5.325814696,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
42,souzast01,Steven Souza Jr.,MLB,2014,2020,482,5.82,15.11026409,89.708685,73.40049006,61.91124421,30.54723659,Active Player,1.956099585,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
43,tapiara01,Raimel Tapia,MLB,2016,2020,306,-0.505,91.85951538,4.165532262,12.60549959,93.43860604,10.45466921,Active Player,-0.267352941,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
44,tomasya01,Yasmany Tomás,MLB,2015,2019,309,-1.575,66.6212905,9.202286959,77.34821672,31.03729921,0.381159815,Active Player,-0.825728155,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
45,winkeje01,Jesse Winker,MLB,2017,2020,303,3.18,87.53062891,93.76531446,80.39749524,17.07051457,1.579090662,Active Player,1.70019802,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
46,adriaeh01,Ehire Adrianza,MLB,2013,2020,466,1.93,34.03212633,50.06806425,15.57310101,73.12823305,59.0253199,Active Player,0.670944206,Middle IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
47,albieoz01,Ozzie Albies,MLB,2017,2020,404,11.31,88.51075415,19.05799074,70.26953444,92.45848081,86.11489246,Active Player,4.53519802,Middle IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
48,beckhti01,Tim Beckham,MLB,2013,2019,472,3.955,46.2292404,22.05281786,64.30710591,63.05472366,35.28450858,Active Player,1.357436441,Middle IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
49,dejonpa01,Paul DeJong,MLB,2017,2020,427,11.565,44.37789273,51.70160632,77.48434522,41.1108086,96.40620746,Active Player,4.38765808,Middle IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
50,diazal02,Aledmys Díaz,MLB,2016,2020,406,5.71,84.10019058,28.42363191,71.57636809,49.98638715,40.29403757,Active Player,2.278374384,Middle IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
51,difowi01,Wilmer Difo,MLB,2015,2020,373,0.495,39.17778383,40.15790907,4.955077593,90.14429622,73.04655595,Active Player,0.214986595,Middle IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
52,drurybr01,Brandon Drury,MLB,2015,2020,456,-0.86,36.78192213,15.60032671,47.69942826,13.85788184,16.71658045,Active Player,-0.305526316,Middle IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
53,kingesc01,Scott Kingery,MLB,2018,2020,309,1.505,24.72093656,18.13231691,48.87013341,84.86251021,73.01933025,Active Player,0.789029126,Middle IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
54,mcmahry01,Ryan McMahon,MLB,2017,2020,301,1.365,26.73563844,69.99727743,61.74789001,31.55458753,63.9803975,Active Player,0.734651163,Middle IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
55,moncayo01,Yoan Moncada,MLB,2016,2020,395,9.29,82.65722842,54.20637081,72.52926763,79.3629186,58.12687177,Active Player,3.810075949,Middle IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
56,mondera02,Adalberto Mondesi,MLB,2016,2020,308,5.24,61.01279608,1.089028042,57.52790634,99.9455486,89.6270079,Active Player,2.756103896,Middle IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
57,polanjo01,Jorge Polanco,MLB,2014,2020,496,8.05,88.81023686,33.07922679,48.05336237,82.27606861,41.62809692,Active Player,2.629233871,Middle IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
58,rosaram01,Amed Rosario,MLB,2017,2020,403,3.43,76.39531718,1.551864961,21.12714402,95.07214811,49.44187313,Active Player,1.378808933,Middle IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
59,torregl01,Gleyber Torres,MLB,2018,2020,309,6.205,82.0310373,48.13503948,86.46882657,27.90634359,31.69071604,Active Player,3.253106796,Middle IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
60,wendljo01,Joey Wendle,MLB,2016,2020,300,6.7,93.24802614,22.24339777,23.68635992,88.91913967,87.47617751,Active Player,3.618,Middle IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
61,aguilje01,Jesus Aguilar,MLB,2014,2020,499,3.895,67.02967601,65.39613395,85.02586442,12.9049823,19.13966785,Active Player,1.264509018,Corner IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
62,anderbr06,Brian Anderson,MLB,2017,2020,366,8.225,73.61829567,73.72719848,54.61475633,34.79444596,67.22025592,Active Player,3.64057377,Corner IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
63,camarjo01,Johan Camargo,MLB,2017,2020,349,4.135,72.17533351,35.01225157,56.98339232,32.77974408,78.90008168,Active Player,1.919398281,Corner IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
64,candeje01,Jeimer Candelario,MLB,2016,2020,333,4.48,38.03430438,80.64252655,51.4021236,55.13204465,53.19901987,Active Player,2.179459459,Corner IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
65,chapmma01,Matt Chapman,MLB,2017,2020,422,18.825,58.72583719,72.55649333,93.79254016,62.51020964,99.04710046,Active Player,7.226658768,Corner IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
66,cuthbch01,Cheslor Cuthbert,MLB,2015,2020,323,-1.075,39.42281514,21.01824122,19.82031037,9.801252382,21.97114076,Active Player,-0.539164087,Corner IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
67,deverra01,Rafael Devers,MLB,2017,2020,392,7.26,93.52028315,18.10509121,85.95153825,66.7846447,31.52736183,Active Player,3.000306122,Corner IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
68,duffyma01,Matt Duffy,MLB,2014,2019,452,7.715,90.38932753,29.45820855,10.99918323,64.0348489,71.7397223,Active Player,2.765110619,Corner IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
69,healyry01,Ryon Healy,MLB,2016,2020,405,1.305,69.07160359,3.893275252,72.93765314,7.459842091,4.900626191,Active Player,0.522,Corner IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
70,hoskirh01,Rhys Hoskins,MLB,2017,2020,404,6.845,32.99754969,99.29213177,97.65858971,29.64878846,4.219983665,Active Player,2.744777228,Corner IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
71,moranco01,Colin Moran,MLB,2016,2020,361,0.52,82.52109992,27.79744078,46.28369181,23.1146202,5.091206099,Active Player,0.233351801,Corner IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
72,muncyma01,Max Muncy,MLB,2015,2020,432,9.76,40.26681187,98.96542336,97.4680098,38.98720392,41.70977403,Active Player,3.66,Corner IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
73,olsonma02,Matt Olson,MLB,2016,2020,419,11.89,47.94445957,84.75360741,97.68581541,6.942553771,62.80969235,Active Player,4.597088305,Corner IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
74,rufda01,Darin Ruf,MLB,2012,2020,326,0.63,45.00408386,68.17315546,89.7903621,12.68717669,1.252382249,Active Player,0.313067485,Corner IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
75,urshegi01,Gio Urshela,MLB,2015,2020,342,4.41,92.64906071,15.62755241,56.92894092,24.44867955,79.03621018,Active Player,2.088947368,Corner IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
76,alfarjo01,Jorge Alfaro,MLB,2016,2020,304,3.57,68.82657228,23.84971413,36.86359924,20.66430711,86.68663218,Active Player,1.902434211,Catcher,"There is no fun fact for this player, if you would like to learn more search for this player online!"
77,barneau01,Austin Barnes,MLB,2015,2020,347,5.13,44.16008712,97.57691261,30.46555949,60.68608767,97.27742989,Active Player,2.394985591,Catcher,"There is no fun fact for this player, if you would like to learn more search for this player online!"
78,casalcu01,Curt Casali,MLB,2014,2020,328,4.28,21.07269262,83.50122516,85.43424993,3.621018241,88.40185135,Active Player,2.113902439,Catcher,"There is no fun fact for this player, if you would like to learn more search for this player online!"
79,contrwi01,Willson Contreras,MLB,2016,2020,493,11.355,73.26436156,78.51892186,78.76395317,29.34930574,83.03838824,Active Player,3.731257606,Catcher,"There is no fun fact for this player, if you would like to learn more search for this player online!"
80,hedgeau01,Austin Hedges,MLB,2015,2020,412,3.025,0.871222434,29.83936836,46.71930302,17.50612578,99.50993738,Active Player,1.189441748,Catcher,"There is no fun fact for this player, if you would like to learn more search for this player online!"
81,josepca01,Caleb Joseph,MLB,2014,2020,425,4.26,8.276613123,22.92404029,34.90334876,25.04764498,99.23768037,Active Player,1.623811765,Catcher,"There is no fun fact for this player, if you would like to learn more search for this player online!"
82,leonsa01,Sandy Leon,MLB,2012,2020,417,2.185,18.21399401,50.47644977,18.59515383,24.58480806,97.00517288,Active Player,0.848848921,Catcher,"There is no fun fact for this player, if you would like to learn more search for this player online!"
83,narvaom01,Omar Narvaez,MLB,2016,2020,393,5.045,73.31881296,81.67710319,19.87476178,5.690171522,44.13286142,Active Player,2.079618321,Catcher,"There is no fun fact for this player, if you would like to learn more search for this player online!"
84,perezro02,Roberto Perez,MLB,2014,2020,446,8.195,6.806425265,85.43424993,49.95916145,13.20446501,99.80942009,Active Player,2.976659193,Catcher,"There is no fun fact for this player, if you would like to learn more search for this player online!"
85,phegljo01,Josh Phegley,MLB,2013,2020,388,1.635,10.78137762,12.55104819,53.49850259,28.50530901,84.23631909,Active Player,0.682654639,Catcher,"There is no fun fact for this player, if you would like to learn more search for this player online!"
86,pinama01,Manny Pina,MLB,2011,2020,334,4.9,54.36972502,43.23441329,39.83120065,14.10291315,99.31935747,Active Player,2.376646707,Catcher,"There is no fun fact for this player, if you would like to learn more search for this player online!"
87,plaweke01,Kevin Plawecki,MLB,2015,2020,321,2.71,16.47154914,76.15028587,14.10291315,12.49659679,92.48570651,Active Player,1.367663551,Catcher,"There is no fun fact for this player, if you would like to learn more search for this player online!"
88,rominau01,Austin Romine,MLB,2011,2020,406,0.04,26.79008984,6.044105636,18.92186224,24.20364824,73.59106997,Active Player,0.015960591,Catcher,"There is no fun fact for this player, if you would like to learn more search for this player online!"
89,sanchga02,Gary Sanchez,MLB,2015,2020,421,11.065,48.13503948,72.50204193,98.44813504,14.62020147,78.60059897,Active Player,4.257790974,Catcher,"There is no fun fact for this player, if you would like to learn more search for this player online!"
90,vazquch01,Christian Vazquez,MLB,2014,2020,476,7.06,64.79716853,19.08521644,25.15654778,40.26681187,98.39368364,Active Player,2.402773109,Catcher,"There is no fun fact for this player, if you would like to learn more search for this player online!"
91,wolteto01,Tony Wolters,MLB,2016,2020,391,1.97,26.76286414,76.8309284,0.952899537,60.60441056,98.91097196,Active Player,0.816214834,Catcher,"There is no fun fact for this player, if you would like to learn more search for this player online!"
92,abreujo02,José Abreu,MLB,2014,2020,961,22.275,96.660746,32.04262877,93.57015986,21.88277087,5.541740675,Active Player,3.754994797,Corner IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
93,ahmedni01,Nick Ahmed,MLB,2014,2020,670,8.795,22.77087034,25.29307282,38.01065719,74.81349911,97.76198934,Active Player,2.126552239,Middle IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
94,alonsyo01,Yonder Alonso,MLB,2010,2019,1072,6.795,51.22557726,65.07992895,38.89875666,10.90586146,15.95026643,Active Player,1.026856343,Corner IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
95,altuvjo01,Jose Altuve,MLB,2011,2020,1291,35.83,99.36056838,25.54174067,51.01243339,87.85079929,46.71403197,Active Player,4.49609605,Middle IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
96,anderti01,Tim Anderson,MLB,2016,2020,570,10.53,93.9964476,0.426287744,47.6731794,90.47957371,56.69626998,Active Player,2.992736842,Middle IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
97,andruel01,Elvis Andrus,MLB,2009,2020,1652,29.18,76.1634103,33.07282416,9.698046181,92.75310835,82.59325044,Active Player,2.861476998,Middle IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
98,arenano01,Nolan Arenado,MLB,2013,2020,1079,35.655,95.23978686,35.91474245,96.69626998,46.57193606,92.43339254,Active Player,5.353206673,Corner IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
99,avilaal01,Alex Avila,MLB,2009,2020,1018,15.5,21.81172291,97.72646536,64.36944938,8.38365897,77.97513321,Active Player,2.466601179,Catcher,"There is no fun fact for this player, if you would like to learn more search for this player online!"
100,baezja01,Javier Baez,MLB,2014,2020,724,15.815,76.23445826,4.014209591,85.5062167,89.41385435,93.0017762,Active Player,3.53871547,Middle IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
101,barnhtu01,Tucker Barnhart,MLB,2014,2020,628,5.21,32.22024867,69.34280639,17.72646536,7.104795737,94.99111901,Active Player,1.343980892,Catcher,"There is no fun fact for this player, if you would like to learn more search for this player online!"
102,beckhgo01,Gordon Beckham,MLB,2009,2019,1069,5.52,12.93072824,48.6678508,33.25044405,38.04618117,57.05150977,Active Player,0.836520112,Middle IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
103,bellico01,Cody Bellinger,MLB,2017,2020,506,17.77,86.78507993,85.5062167,98.18827709,76.3410302,67.46003552,Active Player,5.689209486,Corner IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
104,beltbr01,Brandon Belt,MLB,2011,2020,1135,23.57,68.70337478,89.30728242,76.87388988,56.98046181,34.06749556,Active Player,3.364176211,Corner IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
105,bettsmo01,Mookie Betts,MLB,2014,2020,849,42.81,98.40142096,62.27353464,90.79928952,92.64653641,89.94671403,Active Player,8.16869258,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
106,blackch02,Charlie Blackmon,MLB,2011,2020,1119,19.85,98.57904085,33.85435169,84.79573712,92.5044405,27.03374778,Active Player,2.873726542,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
107,bogaexa01,Xander Bogaerts,MLB,2013,2020,970,24.76,94.6714032,43.97868561,61.34991119,54.38721137,55.34635879,Active Player,4.135175258,Middle IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
108,bourjpe01,Peter Bourjos,MLB,2010,2019,875,9.25,16.62522202,31.22557726,46.74955595,98.04618117,94.42273535,Active Player,1.712571429,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
109,bradlja02,Jackie Bradley Jr.,MLB,2013,2020,873,16.5,28.6678508,74.95559503,67.03374778,82.23801066,87.6731794,Active Player,3.06185567,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
110,brantmi02,Michael Brantley,MLB,2009,2020,1245,27.77,97.44227353,37.44227353,48.49023091,59.82238011,35.48845471,Active Player,3.613445783,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
111,braunry02,Ryan Braun,MLB,2007,2020,1766,45.285,96.26998224,46.0035524,95.34635879,83.26820604,15.77264654,Active Player,4.154116648,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
112,bregmal01,Alex Bregman,MLB,2016,2020,559,22.43,90.87033748,94.56483126,94.10301954,54.31616341,67.53108348,Active Player,6.500286225,Corner IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
113,bruceja01,Jay Bruce,MLB,2008,2020,1640,19.995,28.41918295,59.25399645,91.50976909,49.12966252,40.95914742,Active Player,1.975115854,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
114,bryankr01,Kris Bryant,MLB,2015,2020,740,26.28,86.89165187,93.14387211,91.15452931,60.42628774,52.53996448,Active Player,5.753189189,Corner IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
115,cabreas01,Asdrubal Cabrera,MLB,2007,2020,1712,28.31,66.28774423,44.8312611,52.53996448,51.79396092,52.61101243,Active Player,2.678866822,Middle IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
116,cabreme01,Melky Cabrera,MLB,2005,2019,1887,17.87,89.55595027,18.5079929,33.96092362,66.11012433,18.15275311,Active Player,1.534149444,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
117,cabremi01,Miguel Cabrera,MLB,2003,2020,2457,70.24,99.18294849,74.81349911,94.74245115,13.85435169,13.03730018,Active Player,4.631208791,Corner IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
118,cainlo01,Lorenzo Cain,MLB,2010,2020,1050,32.68,94.28063943,41.13676732,25.15097691,89.91119005,95.13321492,Active Player,5.042057143,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
119,calhoko01,Kole Calhoun,MLB,2012,2020,1020,17.16,35.91474245,66.03907638,70.01776199,53.74777975,40.46181172,Active Player,2.725411765,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
120,canhama01,Mark Canha,MLB,2015,2020,504,7.88,45.89698046,91.97158082,74.92007105,55.70159858,17.65541741,Active Player,2.532857143,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
121,canoro01,Robinson Cano,MLB,2005,2020,2234,63.905,97.05150977,26.85612789,80.10657194,33.74777975,65.39964476,Active Player,4.634113697,Middle IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
122,carpema01,Matt Carpenter,MLB,2011,2020,1199,29.27,74.84902309,94.88454707,79.57371226,58.36589698,43.6589698,Active Player,3.954745621,Corner IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
123,casteni01,Nicholas Castellanos,MLB,2013,2020,948,10.405,78.11722913,19.92895204,76.62522202,50.08880995,6.039076377,Active Player,1.77806962,Corner IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
124,castiwe01,Welington Castillo,MLB,2010,2019,726,8.71,46.5008881,40.10657194,63.44582593,2.806394316,70.01776199,Active Player,1.943553719,Catcher,"There is no fun fact for this player, if you would like to learn more search for this player online!"
125,castrja01,Jason Castro,MLB,2010,2020,852,13.415,11.90053286,78.5079929,59.53818828,22.27353464,88.84547069,Active Player,2.550739437,Catcher,"There is no fun fact for this player, if you would like to learn more search for this player online!"
126,castrst01,Starlin Castro,MLB,2010,2020,1486,17.93,83.80106572,6.927175844,32.3268206,57.76198934,58.08170515,Active Player,1.954683715,Middle IF,"There is no fun fact for this player, if you would like to learn more search for this player online!"
127,cervefr01,Francisco Cervelli,MLB,2008,2020,730,16.035,74.56483126,86.18117229,22.38010657,41.81172291,96.37655417,Active Player,3.558452055,Catcher,"There is no fun fact for this player, if you would like to learn more search for this player online!"
128,cespeyo01,Yoenis Céspedes,MLB,2012,2020,834,21.41,79.36056838,30.47957371,93.17939609,68.02841918,41.1722913,Active Player,4.158776978,Outfielder,"There is no fun fact for this player, if you would like to learn more search for this player online!"
